,date,classification,trade_count
0,2023-05-01,Greed,3
1,2023-12-05,Extreme Greed,9
2,2023-12-14,Greed,11
3,2023-12-15,Greed,2
4,2023-12-16,Greed,3
5,2023-12-17,Greed,14
6,2023-12-18,Greed,2
7,2023-12-19,Greed,15
8,2023-12-20,Greed,18
9,2023-12-21,Greed,49
10,2023-12-22,Greed,10
11,2023-12-23,Greed,13
12,2023-12-24,Greed,39
13,2023-12-25,Greed,3
14,2023-12-27,Greed,28
15,2023-12-28,Greed,23
16,2023-12-29,Greed,50
17,2023-12-30,Greed,52
18,2024-01-01,Greed,18
19,2024-01-02,Greed,17
20,2024-01-03,Greed,67
21,2024-01-04,Greed,5
22,2024-01-05,Greed,66
23,2024-01-06,Greed,22
24,2024-01-07,Greed,97
25,2024-01-08,Greed,128
26,2024-01-09,Extreme Greed,70
27,2024-01-10,Greed,193
28,2024-01-11,Extreme Greed,21
29,2024-01-12,Greed,7
30,2024-01-15,Neutral,14
31,2024-01-16,Greed,9
32,2024-01-17,Greed,53
33,2024-01-18,Greed,46
34,2024-01-19,Neutral,48
35,2024-01-20,Neutral,106
36,2024-01-21,Greed,11
37,2024-01-22,Greed,85
38,2024-01-23,Neutral,45
39,2024-01-24,Neutral,68
40,2024-01-25,Neutral,6
41,2024-01-26,Neutral,5
42,2024-01-28,Neutral,11
43,2024-01-29,Greed,74
44,2024-01-30,Greed,49
45,2024-01-31,Greed,859
46,2024-02-01,Greed,6
47,2024-02-02,Greed,42
48,2024-02-03,Greed,56
49,2024-02-04,Greed,35
50,2024-02-05,Greed,72
51,2024-02-06,Greed,1088
52,2024-02-07,Greed,15
53,2024-02-08,Greed,10
54,2024-02-11,Greed,34
55,2024-02-12,Greed,16
56,2024-02-13,Extreme Greed,14
57,2024-02-14,Greed,111
58,2024-02-15,Greed,63
59,2024-02-16,Greed,182
60,2024-02-17,Extreme Greed,94
61,2024-02-18,Greed,97
62,2024-02-19,Extreme Greed,101
63,2024-02-20,Greed,39
64,2024-02-21,Extreme Greed,22
65,2024-02-22,Greed,88
66,2024-02-23,Extreme Greed,143
67,2024-02-25,Greed,5
68,2024-02-26,Greed,39
69,2024-02-27,Extreme Greed,63
70,2024-02-28,Extreme Greed,45
71,2024-02-29,Extreme Greed,116
72,2024-03-01,Extreme Greed,137
73,2024-03-02,Extreme Greed,31
74,2024-03-03,Extreme Greed,79
75,2024-03-04,Extreme Greed,300
76,2024-03-05,Extreme Greed,180
77,2024-03-06,Extreme Greed,82
